"Simulation" "Statistic" "Tool" "Value"
"137" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.899250648248453
"138" "RSEMsim" "spearmans" "Sailfish_cor" 0.889680577010198
"139" "RSEMsim" "spearmans" "eXpress_cor" 0.561836993147206
"140" "RSEMsim" "spearmans" "Kallisto_cor" 0.895793879292505
"141" "RSEMsim" "spearmans" "RSEM_cor" 0.863812020713889
"142" "RSEMsim" "spearmans" "Salmon_align_cor" 0.795231197226158
"143" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.886380090545433
"144" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.889071848857424
"145" "RSEMsim" "spearmans" "Sailfish_cor" 0.880989507169061
"146" "RSEMsim" "spearmans" "eXpress_cor" 0.556697393680982
"147" "RSEMsim" "spearmans" "Kallisto_cor" 0.886620459203817
"148" "RSEMsim" "spearmans" "RSEM_cor" 0.872261709659855
"149" "RSEMsim" "spearmans" "Salmon_align_cor" 0.817734261877974
"150" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.887552214897436
"151" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.892259716053194
"152" "RSEMsim" "spearmans" "Sailfish_cor" 0.884445645661767
"153" "RSEMsim" "spearmans" "eXpress_cor" 0.559528036648303
"154" "RSEMsim" "spearmans" "Kallisto_cor" 0.888886212135024
"155" "RSEMsim" "spearmans" "RSEM_cor" 0.873447875014476
"156" "RSEMsim" "spearmans" "Salmon_align_cor" 0.812122396231925
"157" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.888205897333364
"158" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.891548797825757
"159" "RSEMsim" "spearmans" "Sailfish_cor" 0.883607862898907
"160" "RSEMsim" "spearmans" "eXpress_cor" 0.556724585294564
"161" "RSEMsim" "spearmans" "Kallisto_cor" 0.889226689468971
"162" "RSEMsim" "spearmans" "RSEM_cor" 0.864452928317841
"163" "RSEMsim" "spearmans" "Salmon_align_cor" 0.797139872599342
"164" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.881268070847912
"165" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.883678679129552
"166" "RSEMsim" "spearmans" "Sailfish_cor" 0.878281996148334
"167" "RSEMsim" "spearmans" "eXpress_cor" 0.565073027100348
"168" "RSEMsim" "spearmans" "Kallisto_cor" 0.881472942213238
"169" "RSEMsim" "spearmans" "RSEM_cor" 0.87028379778462
"170" "RSEMsim" "spearmans" "Salmon_align_cor" 0.811485468072324
"171" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.88659994566394
