"Statistic" "Tool" "Sample_name" "Value"
"89" "recall" "Sailfish_recall" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.965999237223494
"90" "recall" "eXpress_recall" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.998550724637681
"91" "recall" "Kallisto_recall" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.965446224256293
"92" "recall" "RSEM_recall" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.965975952929138
"93" "recall" "Salmon_align_recall" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.971421262288492
"94" "recall" "Salmon_quasi_recall" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.970598984029529
"95" "recall" "Salmon_SMEM_recall" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.970946168183313
"96" "recall" "Sailfish_recall" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.970763439681322
"97" "recall" "eXpress_recall" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.998830537587253
"98" "recall" "Kallisto_recall" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.969922888572159
"99" "recall" "RSEM_recall" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.969200443513613
"100" "recall" "Salmon_align_recall" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.958710994561678
"101" "recall" "Salmon_quasi_recall" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.973881976099544
"102" "recall" "Salmon_SMEM_recall" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.974286770270508
"103" "recall" "Sailfish_recall" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.973987574578926
"104" "recall" "eXpress_recall" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.998732818247417
"105" "recall" "Kallisto_recall" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.973125186997307
"106" "recall" "RSEM_recall" "ERR522956" 0.955657147157316
"107" "recall" "Salmon_align_recall" "ERR522956" 0.567125710200549
"108" "recall" "Salmon_quasi_recall" "ERR522956" 0.958648455431388
"109" "recall" "Salmon_SMEM_recall" "ERR522956" 0.957783045490462
"110" "recall" "Sailfish_recall" "ERR522956" 0.957839485269218
"111" "recall" "eXpress_recall" "ERR522956" 0.816363773187342
"112" "recall" "Kallisto_recall" "ERR522956" 0.955864093012755
"113" "F1" "RSEM_F1" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.937598721498523
