"Var1" "Var2" "value" "statistic"
"119" "Kallisto_cor" "ERR1211195" 0.897342801087683 "spearmans"
"120" "RSEM_cor" "ERR1211196" 0.862602744077143 "spearmans"
"121" "Salmon_align_cor" "ERR1211196" 0.821621442925844 "spearmans"
"122" "Salmon_quasi_cor" "ERR1211196" 0.864692805216872 "spearmans"
"123" "Salmon_SMEM_cor" "ERR1211196" 0.86936874906122 "spearmans"
"124" "Sailfish_cor" "ERR1211196" 0.862456609976496 "spearmans"
"125" "eXpress_cor" "ERR1211196" 0.63859902899512 "spearmans"
"126" "Kallisto_cor" "ERR1211196" 0.867186750603686 "spearmans"
"127" "RSEM_cor" "ERR1211197" 0.82422576179635 "spearmans"
"128" "Salmon_align_cor" "ERR1211197" 0.786681847000379 "spearmans"
"129" "Salmon_quasi_cor" "ERR1211197" 0.820821906450336 "spearmans"
"130" "Salmon_SMEM_cor" "ERR1211197" 0.825459619311715 "spearmans"
"131" "Sailfish_cor" "ERR1211197" 0.818825934322185 "spearmans"
"132" "eXpress_cor" "ERR1211197" 0.597359246275411 "spearmans"
"133" "Kallisto_cor" "ERR1211197" 0.822742107786469 "spearmans"
"134" "RSEM_cor" "ERR1211198" 0.872118240559055 "spearmans"
"135" "Salmon_align_cor" "ERR1211198" 0.81940913719532 "spearmans"
"136" "Salmon_quasi_cor" "ERR1211198" 0.87745555689263 "spearmans"
"137" "Salmon_SMEM_cor" "ERR1211198" 0.883813895520494 "spearmans"
"138" "Sailfish_cor" "ERR1211198" 0.87408353916626 "spearmans"
"139" "eXpress_cor" "ERR1211198" 0.643624006692124 "spearmans"
"140" "Kallisto_cor" "ERR1211198" 0.879339526711429 "spearmans"
"141" "RSEM_cor" "ERR1211199" 0.842660250610401 "spearmans"
"142" "Salmon_align_cor" "ERR1211199" 0.80463578568776 "spearmans"
"143" "Salmon_quasi_cor" "ERR1211199" 0.838483770578511 "spearmans"
"144" "Salmon_SMEM_cor" "ERR1211199" 0.843732414622289 "spearmans"
"145" "Sailfish_cor" "ERR1211199" 0.838098614494689 "spearmans"
"146" "eXpress_cor" "ERR1211199" 0.612954699291363 "spearmans"
"147" "Kallisto_cor" "ERR1211199" 0.840394490061853 "spearmans"
"148" "RSEM_cor" "ERR1211200" 0.890161274056092 "spearmans"
"149" "Salmon_align_cor" "ERR1211200" 0.847501119868461 "spearmans"
"150" "Salmon_quasi_cor" "ERR1211200" 0.898450663342898 "spearmans"
"151" "Salmon_SMEM_cor" "ERR1211200" 0.902839974106799 "spearmans"
"152" "Sailfish_cor" "ERR1211200" 0.893629865097859 "spearmans"
"153" "eXpress_cor" "ERR1211200" 0.671561997764952 "spearmans"
"154" "Kallisto_cor" "ERR1211200" 0.900697368643615 "spearmans"
"155" "RSEM_cor" "ERR1211201" 0.867055662529757 "spearmans"
"156" "Salmon_align_cor" "ERR1211201" 0.819280423194974 "spearmans"
"157" "Salmon_quasi_cor" "ERR1211201" 0.874447907569831 "spearmans"
"158" "Salmon_SMEM_cor" "ERR1211201" 0.879575876619204 "spearmans"
"159" "Sailfish_cor" "ERR1211201" 0.87129518642055 "spearmans"
"160" "eXpress_cor" "ERR1211201" 0.6405631355556 "spearmans"
"161" "Kallisto_cor" "ERR1211201" 0.876542098145734 "spearmans"
"162" "RSEM_cor" "ERR1211202" 0.850604583339725 "spearmans"
"163" "Salmon_align_cor" "ERR1211202" 0.813571774145168 "spearmans"
"164" "Salmon_quasi_cor" "ERR1211202" 0.843303905547286 "spearmans"
"165" "Salmon_SMEM_cor" "ERR1211202" 0.848668963937538 "spearmans"
"166" "Sailfish_cor" "ERR1211202" 0.84079845441518 "spearmans"
"167" "eXpress_cor" "ERR1211202" 0.617156210122806 "spearmans"
"168" "Kallisto_cor" "ERR1211202" 0.844698073932193 "spearmans"
"169" "RSEM_cor" "ERR1211203" 0.868647471481744 "spearmans"
"170" "Salmon_align_cor" "ERR1211203" 0.817300480785252 "spearmans"
"171" "Salmon_quasi_cor" "ERR1211203" 0.874858224931402 "spearmans"
"172" "Salmon_SMEM_cor" "ERR1211203" 0.880492127648172 "spearmans"
"173" "Sailfish_cor" "ERR1211203" 0.87132450360851 "spearmans"
"174" "eXpress_cor" "ERR1211203" 0.639669423309848 "spearmans"
"175" "Kallisto_cor" "ERR1211203" 0.876846636417897 "spearmans"
"176" "RSEM_cor" "ERR1211204" 0.833212912414873 "spearmans"
"177" "Salmon_align_cor" "ERR1211204" 0.795156884963768 "spearmans"
"178" "Salmon_quasi_cor" "ERR1211204" 0.825081001108495 "spearmans"
"179" "Salmon_SMEM_cor" "ERR1211204" 0.831465679004506 "spearmans"
"180" "Sailfish_cor" "ERR1211204" 0.823278037456504 "spearmans"
"181" "eXpress_cor" "ERR1211204" 0.599697126569684 "spearmans"
"182" "Kallisto_cor" "ERR1211204" 0.827918581037512 "spearmans"
"183" "RSEM_cor" "ERR1211205" 0.89334742808688 "spearmans"
"184" "Salmon_align_cor" "ERR1211205" 0.856869720085622 "spearmans"
