"Simulation" "Statistic" "Tool" "Value" "ID"
"130" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 15.9 "all"
"131" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.5 "all"
"132" "RSEMsim" "nrmse" "eXpress_nmrse" 37.1 "all"
"133" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.1 "all"
"134" "RSEMsim" "nrmse" "RSEM_nmrse" 18.4 "all"
"135" "RSEMsim" "nrmse" "Salmon_align_nmrse" 26.5 "all"
"136" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.3 "all"
"137" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.1 "all"
"138" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.9 "all"
"139" "RSEMsim" "nrmse" "eXpress_nmrse" 37.9 "all"
"140" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.1 "all"
"141" "RSEMsim" "nrmse" "RSEM_nmrse" 18 "all"
"142" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.3 "all"
"143" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 15.8 "all"
"144" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 15.8 "all"
"145" "RSEMsim" "nrmse" "Sailfish_nmrse" 16.3 "all"
"146" "RSEMsim" "nrmse" "eXpress_nmrse" 41.6 "all"
"147" "RSEMsim" "nrmse" "Kallisto_nmrse" 15.8 "all"
"148" "RSEMsim" "nrmse" "RSEM_nmrse" 17.8 "all"
"149" "RSEMsim" "nrmse" "Salmon_align_nmrse" 25.8 "all"
"150" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 14.9 "all"
"151" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 14.6 "all"
"152" "RSEMsim" "nrmse" "Sailfish_nmrse" 15.7 "all"
"153" "RSEMsim" "nrmse" "eXpress_nmrse" 36 "all"
"154" "RSEMsim" "nrmse" "Kallisto_nmrse" 15 "all"
"155" "RSEMsim" "nrmse" "RSEM_nmrse" 17.8 "all"
"156" "RSEMsim" "nrmse" "Salmon_align_nmrse" 25.1 "all"
"157" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 15.4 "all"
"158" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 15.5 "all"
"159" "RSEMsim" "nrmse" "Sailfish_nmrse" 16.9 "all"
"160" "RSEMsim" "nrmse" "eXpress_nmrse" 41 "all"
"161" "RSEMsim" "nrmse" "Kallisto_nmrse" 15.5 "all"
"162" "RSEMsim" "nrmse" "RSEM_nmrse" 17.9 "all"
"163" "RSEMsim" "nrmse" "Salmon_align_nmrse" 28 "all"
"164" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.5 "all"
"165" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.2 "all"
"166" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.4 "all"
"167" "RSEMsim" "nrmse" "eXpress_nmrse" 39.6 "all"
"168" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.4 "all"
"169" "RSEMsim" "nrmse" "RSEM_nmrse" 19.6 "all"
"170" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.3 "all"
"171" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.3 "all"
"172" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17.3 "all"
"173" "RSEMsim" "nrmse" "Sailfish_nmrse" 19 "all"
"174" "RSEMsim" "nrmse" "eXpress_nmrse" 38.4 "all"
"175" "RSEMsim" "nrmse" "Kallisto_nmrse" 17.2 "all"
"176" "RSEMsim" "nrmse" "RSEM_nmrse" 19.8 "all"
"177" "RSEMsim" "nrmse" "Salmon_align_nmrse" 29.1 "all"
"178" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.7 "all"
"179" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17.3 "all"
"180" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.5 "all"
"181" "RSEMsim" "nrmse" "eXpress_nmrse" 37.1 "all"
"182" "RSEMsim" "nrmse" "Kallisto_nmrse" 17.6 "all"
"183" "RSEMsim" "nrmse" "RSEM_nmrse" 18.3 "all"
"184" "RSEMsim" "nrmse" "Salmon_align_nmrse" 26.9 "all"
"185" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.7 "all"
"186" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.3 "all"
"187" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.9 "all"
"188" "RSEMsim" "nrmse" "eXpress_nmrse" 41.1 "all"
"189" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.6 "all"
"190" "RSEMsim" "nrmse" "RSEM_nmrse" 19.6 "all"
"191" "RSEMsim" "nrmse" "Salmon_align_nmrse" 30.2 "all"
"192" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.5 "all"
"193" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17.6 "all"
"194" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.8 "all"
"195" "RSEMsim" "nrmse" "eXpress_nmrse" 41.7 "all"
"196" "RSEMsim" "nrmse" "Kallisto_nmrse" 17.8 "all"
"197" "RSEMsim" "nrmse" "RSEM_nmrse" 20.6 "all"
"198" "RSEMsim" "nrmse" "Salmon_align_nmrse" 29 "all"
"199" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 18.3 "all"
"200" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17.9 "all"
"201" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.8 "all"
"202" "RSEMsim" "nrmse" "eXpress_nmrse" 43.3 "all"
"203" "RSEMsim" "nrmse" "Kallisto_nmrse" 18.4 "all"
"204" "RSEMsim" "nrmse" "RSEM_nmrse" 20.2 "all"
"205" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.6 "all"
"206" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.1 "all"
"207" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.6 "all"
"208" "RSEMsim" "nrmse" "Sailfish_nmrse" 19 "all"
"209" "RSEMsim" "nrmse" "eXpress_nmrse" 34.9 "all"
"210" "RSEMsim" "nrmse" "Kallisto_nmrse" 17 "all"
"211" "RSEMsim" "nrmse" "RSEM_nmrse" 20.4 "all"
"212" "RSEMsim" "nrmse" "Salmon_align_nmrse" 28.5 "all"
"213" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 18.2 "all"
"214" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 18 "all"
"215" "RSEMsim" "nrmse" "Sailfish_nmrse" 19.1 "all"
"216" "RSEMsim" "nrmse" "eXpress_nmrse" 41.8 "all"
"217" "RSEMsim" "nrmse" "Kallisto_nmrse" 18.1 "all"
"218" "RSEMsim" "nrmse" "RSEM_nmrse" 17.8 "all"
"219" "RSEMsim" "nrmse" "Salmon_align_nmrse" 26.3 "all"
"220" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.3 "all"
