"tools" "spearmans_results" "spearmans_error" "nrmse_results" "nrmse_error" "percentage_zeros" "cell_type"
"58" "Salmon Alignment" "0.970351201791455" "0.000779055583519598" "21.2464944649447" "0.120159691119708" "40" "ES"
"59" "Salmon Quasi" "0.978285876478235" "0.000583705716756988" "18.1269372693727" "0.122215514255535" "40" "ES"
"60" "Salmon SMEM" "0.978933391010175" "0.00057386312846944" "17.8675276752768" "0.120736105206704" "40" "ES"
"61" "Sailfish" "0.983462709227309" "0.000669235568697916" "14.8738007380074" "0.0862347696463919" "40" "ES"
"62" "eXpress" "0.953531137542012" "0.00126359073860203" "32.4254612546125" "1.05811476932908" "40" "ES"
"63" "Kallisto" "0.976505437469352" "0.000557149619718749" "19.0380073800738" "0.12405380709435" "40" "ES"
"64" "RSEM" "0.986100306250429" "0.000540601870547318" "14.7708487084871" "0.0983115419664403" "20" "ES"
"65" "Salmon Alignment" "0.976659745287128" "0.000522154442979549" "20.4280442804428" "0.120353612259837" "20" "ES"
"66" "Salmon Quasi" "0.980587040143604" "0.000384782430083043" "19.4070110701107" "0.154538496069255" "20" "ES"
"67" "Salmon SMEM" "0.981119733753812" "0.000379994411761862" "19.1" "0.149438381900255" "20" "ES"
"68" "Sailfish" "0.988670625506219" "0.000482139908650135" "13.9933579335793" "0.0927602068942239" "20" "ES"
"69" "eXpress" "0.962736391401813" "0.00100618810929078" "31.1841328413284" "1.08311226666266" "20" "ES"
"70" "Kallisto" "0.977992406947575" "0.000351133474628514" "20.7664206642066" "0.162553780087041" "20" "ES"
